year,district,khoroo,building_id,area_m2,floors,DateTime,OutdoorTemp,Humidity,WindSpeed,Occupancy,Heating_kW,Electric_kW,kwh_t-1,kwh_t-24,Use_kW,day_of_week,hour,is_weekend,season,holiday,load_profile,month,day,heating_season,is_peak_hour,is_extreme_cold,total_load_kW
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 00:00:00,-20.0,55.0,4.3,183,344.81,76.18,426.87362844755904,,420.98,2,0,0,өвөл,1,night,1,1,1,0,0,446.54890475716
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 01:00:00,-21.7,55.0,3.2,268,394.92,76.18,419.3394620493008,,471.1,2,1,0,өвөл,1,night,1,1,1,0,0,449.54079144920837
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 02:00:00,-21.4,56.0,3.2,152,354.83,76.18,478.78497448717116,,431.01,2,2,0,өвөл,1,night,1,1,1,0,0,395.5921522026243
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 03:00:00,-21.7,55.0,3.3,260,364.85,76.18,449.08110192812455,,441.03,2,3,0,өвөл,1,night,1,1,1,0,0,433.9372680848954
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 04:00:00,-20.5,52.0,4.0,199,374.88,76.18,438.2517159869608,,451.05,2,4,0,өвөл,1,night,1,1,1,0,0,423.806468776745
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 05:00:00,-19.3,50.0,4.9,228,338.79,76.18,448.271910787653,,414.97,2,5,0,өвөл,1,night,1,1,1,0,0,423.35765771173834
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 06:00:00,-18.2,50.0,5.2,198,328.77,88.21,433.7077257478984,,416.98,2,6,0,өвөл,1,morning_peak,1,1,1,0,0,431.0771801903985
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 07:00:00,-18.9,52.0,5.3,267,324.76,100.23,426.0857907731452,,424.99,2,7,0,өвөл,1,morning_peak,1,1,1,0,0,
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 08:00:00,-22.1,54.0,5.8,234,378.89,90.21,419.41957769660337,,471.1,2,8,0,өвөл,1,morning_peak,1,1,1,0,0,463.7598200502493
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 09:00:00,-21.6,56.0,6.0,212,360.84,88.21,477.53760055557507,,449.05,2,9,0,өвөл,1,morning_peak,1,1,1,0,0,480.0420177406075
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 10:00:00,-19.9,54.0,5.5,228,300.7,76.18,443.5514417630256,,376.88,2,10,0,өвөл,1,day,1,1,1,0,0,359.3988163140671
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 11:00:00,-19.2,55.0,4.3,295,326.76,76.18,371.3540086267398,,402.94,2,11,0,өвөл,1,day,1,1,1,0,0,405.64174676071275
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 12:00:00,-16.0,54.0,3.9,207,296.69,76.18,405.81093838235233,,372.87,2,12,0,өвөл,1,day,1,1,1,0,0,370.2905136939897
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 13:00:00,-13.4,50.0,5.6,215,316.74,76.18,350.16848684659317,,392.92,2,13,0,өвөл,1,day,1,1,1,0,0,431.67421240371317
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 14:00:00,-13.9,52.0,6.4,219,306.72,76.18,372.4534504850102,,382.9,2,14,0,өвөл,1,day,1,1,1,0,0,406.02326556518324
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 15:00:00,-12.2,53.0,5.9,207,276.65,76.18,376.2283282589145,,352.83,2,15,0,өвөл,1,day,1,1,1,0,0,353.3972856700732
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 16:00:00,-14.1,64.0,5.6,275,286.67,76.18,340.8125242200396,,362.85,2,16,0,өвөл,1,day,1,1,1,0,0,366.45029587400694
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 17:00:00,-12.9,57.0,4.6,177,326.76,110.26,366.5786173702225,,439.03,2,17,0,өвөл,1,evening_peak,1,1,1,0,0,472.7382296391235
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 18:00:00,-13.7,65.0,2.3,188,465.09,144.34,428.2560840764904,,609.43,2,18,0,өвөл,1,evening_peak,1,1,1,1,0,586.5280145083993
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 19:00:00,-14.2,67.0,3.1,217,489.14,132.31,592.6726895422198,,621.45,2,19,0,өвөл,1,evening_peak,1,1,1,1,0,558.2775972095064
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 20:00:00,-17.2,69.0,3.6,262,487.14,134.31,638.8402620375921,,623.46,2,20,0,өвөл,1,evening_peak,1,1,1,1,0,593.2953894126555
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 21:00:00,-17.2,70.0,3.9,238,541.27,152.36,620.7811119126256,,693.62,2,21,0,өвөл,1,evening_peak,1,1,1,1,0,679.2447999293324
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 22:00:00,-20.4,75.0,4.3,287,517.21,156.37,694.4212377858546,,673.58,2,22,0,өвөл,1,evening_peak,1,1,1,1,0,719.4090700285749
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 23:00:00,-19.7,75.0,4.7,173,469.1,106.25,656.6750328474216,,575.35,2,23,0,өвөл,1,late_evening,1,1,1,0,0,605.1466288943024
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-02 00:00:00,-19.6,75.0,4.8,225,519.21,78.18,568.8907729130103,420.98,599.4,3,0,0,өвөл,0,night,1,2,1,0,0,598.0855064941411
